Title,Price,Previous Close,Change Amount,Change Percent,Last Trading Day,Load Timestamp,Item Type,Path
,,,,,,09-08-2025 04:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 05:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 05:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 05:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 05:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 06:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 06:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 06:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 06:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 07:30,Item,sites/Stock_Info/Lists/StockData
AMZN,232.79,231.44,1.35,0.5833%,28-07-2025,28-07-2025 21:14,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 07:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 07:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 07:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 08:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 08:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 08:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 08:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 09:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 09:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 09:30,Item,sites/Stock_Info/Lists/StockData
AAPL,214.05,213.88,0.17,0.0795%,28-07-2025,28-07-2025 21:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 09:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 10:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 10:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 10:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 10:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 11:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 11:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 11:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 11:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 12:30,Item,sites/Stock_Info/Lists/StockData
IBM,263.21,259.72,3.49,1.3438%,28-07-2025,28-07-2025 21:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,09-08-2025 12:30,Item,sites/Stock_Info/Lists/StockData
